ts,venue,symbol,module,side,entry,stop_x,tp,target_r_multiple_x,timeout_bars_x,rule_reasons,veto_reasons,candidate__atr15,candidate__signal_risk,candidate__signal_risk_pct,candidate_id,signal_entry,signal_tp,entry_ts,executed_entry,stop_y,executed_tp,exit_ts,executed_exit,target_r_multiple_y,timeout_bars_y,tp_before_sl_within_horizon,tp1_before_sl_within_12h,mfe_r_24h,mae_r_24h,net_r_24h_timeout,minutes_to_tp_or_sl,outcome,entry_source,path_source,y,realized_r,holding_minutes,trend_bybit__ret_15m_1,trend_bybit__ret_1h_4,trend_bybit__ret_4h_6,trend_bybit__ema50_4h_gap,trend_bybit__ema50_4h_slope,trend_bybit__ema200_4h_slope,trend_bybit__adx14_4h,trend_bybit__atr_pctile_90d,trend_bybit__breakout_age_1h,trend_bybit__impulse_atr_1h,trend_bybit__pullback_depth_frac,trend_bybit__pullback_bars,trend_bybit__dist_to_breakout_level,trend_bybit__dist_to_ema50_4h,ts_dt,p,selection_scope,split_kind,budget_per_week,threshold,model_key,portfolio_mode,selection_policy,cooldown_minutes,trade_index,cumulative_r,equity_peak_r,drawdown_r,signal_risk,risk_pct,notional_usd,risk_usd,pnl_usd,cumulative_pnl_usd,equity_peak_pnl_usd,drawdown_pnl_usd
1751482800000,bybit,BTCUSDT,continuation_v1,long,109493.0,108727.42512155566,111024.14975688868,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],326.6995137774081,765.5748784443422,0.006991998378383478,continuation_v1:long:BTCUSDT:1751482800000,109493.0,111024.14975688868,1751483700000,109503.9493,108727.42512155566,111056.99765688866,1751499900000,108727.42512155566,2.0,96,False,False,0.1833177947983423,1.0752392818890777,0.17224280159306335,285.0,sl,bar_open,trade_bars,0,-1.0,285.0,0.0016292381002041,0.01288621646623489,0.026464078799277813,0.01886307932128235,0.0008155260186413216,0.0007782079939364639,19.422576885986082,14.629629629629628,2.0,1.2637664817315353,0.24767709061843904,1.0,0.0068771519640524964,0.02585782309743071,2025-07-02 19:00:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,1,-1.0,-1.0,0.0,776.5241784443351,0.007091289249458468,5000.0,35.45644624729234,-35.45644624729234,-35.45644624729234,-35.45644624729234,0.0
1751493600000,bybit,BTCUSDT,continuation_v1,long,109395.0,109002.0772428059,110180.8455143882,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],269.6910287763832,392.922757194101,0.003591779854601225,continuation_v1:long:BTCUSDT:1751493600000,109395.0,110180.8455143882,1751494500000,109405.9395,109002.0772428059,110213.66401438818,1751498100000,109002.0772428059,2.0,96,False,False,0.14945813560141827,1.0635792088726046,0.8286501004702119,75.0,sl,bar_open,trade_bars,0,-1.0,75.0,0.0019251763981800174,0.0026625849529580137,0.040714888511072855,0.026024480770947395,0.002254892087429239,0.0011479745848772538,20.3061779990948,16.48148148148148,5.0,1.2637664817315353,0.34558896992706184,4.0,0.00598747657571187,0.0239206331070338,2025-07-02 22:00:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,2,-2.0,-1.0,1.0,403.8622571940941,0.0036914107135298095,5000.0,18.457053567649048,-18.457053567649048,-53.91349981494139,-35.45644624729234,18.457053567649048
1751810400000,bybit,BTCUSDT,continuation_v1,long,108731.5,108094.4710622211,110005.5578755578,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],118.11575111561811,637.0289377789013,0.005858734017087057,continuation_v1:long:BTCUSDT:1751810400000,108731.5,110005.5578755578,1751811300000,108742.37315,108094.4710622211,110038.1773255578,1751895000000,108094.4710622211,2.0,96,False,True,1.4548908975296833,1.3050940349625049,-0.9925468093559345,1395.0,sl,bar_open,trade_bars,0,-1.0,1395.0,0.0008090674462186698,0.00854463812826789,-0.00025079611571410254,0.0029581230347343417,0.0006996402292569481,0.0009707305076422923,13.918200979441053,0.1851851851851852,0.0,2.13692484284639,0.40186810713482274,0.0,0.004888187875638614,0.00940171414626586,2025-07-06 14:00:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,3,-3.0,-1.0,2.0,647.9020877789007,0.005958138203266725,5000.0,29.79069101633362,-29.79069101633362,-83.70419083127501,-35.45644624729234,48.24774458398267
1751823900000,bybit,BTCUSDT,continuation_v1,long,108914.1,108616.14880971228,109510.00238057546,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],155.00476115088753,297.9511902877275,0.0027356530539914253,continuation_v1:long:BTCUSDT:1751823900000,108914.1,109510.00238057546,1751824800000,108924.99141,108616.14880971228,109542.67661057545,1751826600000,108616.14880971228,2.0,96,False,False,0.0,1.5379724479637547,-3.3447180182968492,45.0,sl,bar_open,trade_bars,0,-1.0,45.0,0.0008233440080129828,0.005664656756367181,0.007802461089530199,0.010156481179828059,0.0009502556736309398,0.001032580923376214,14.033280118288431,0.5555555555555556,3.0,2.13692484284639,0.3134143596668897,3.0,0.00655654318403224,0.010648157963349909,2025-07-06 17:45:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,4,-4.0,-1.0,3.0,308.84260028772405,0.0028353695170396896,5000.0,14.176847585198448,-14.176847585198448,-97.88103841647346,-35.45644624729234,62.42459216918112
1751836500000,bybit,BTCUSDT,continuation_v1,long,108880.1,108438.07975428346,109764.14049143309,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],186.4809828661203,442.0202457165433,0.004059697279085372,continuation_v1:long:BTCUSDT:1751836500000,108880.1,109764.14049143309,1751837400000,108890.98801,108438.07975428346,109796.80452143308,1751891400000,108438.07975428346,2.0,96,False,True,1.7531409065259944,1.2132435279429061,-2.5980714529885973,900.0,sl,bar_open,trade_bars,0,-1.0,900.0,0.0024148896405562503,-0.0017672991753523437,0.0037161274566037683,0.006585999946500934,0.001041650390760207,0.001055303654061035,14.14013931864671,0.7407407407407408,7.0,2.13692484284639,0.5298221922124688,7.0,0.006246320493827667,0.010071339765443391,2025-07-06 21:15:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,5,-5.0,-1.0,4.0,452.9082557165384,0.004159281350950233,5000.0,20.796406754751168,-20.796406754751168,-118.67744517122463,-35.45644624729234,83.22099892393229
1751837400000,bybit,BTCUSDT,continuation_v1,long,109257.6,108567.09370040608,110638.61259918785,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],202.42519837568295,690.5062995939224,0.00631998414383917,continuation_v1:long:BTCUSDT:1751837400000,109257.6,110638.61259918785,1751838300000,109268.52576,108567.09370040608,110671.38987918785,1751887800000,108567.09370040608,2.0,96,False,False,0.5937485096434071,1.0600110870758497,-1.825587727970885,825.0,sl,bar_open,trade_bars,0,-1.0,825.0,0.0034671165805322257,-0.0017672991753523437,0.0037161274566037683,0.006585999946500934,0.001041650390760207,0.001055303654061035,14.14013931864671,0.7407407407407408,7.0,2.13692484284639,0.5298221922124688,7.0,0.00967987581641923,0.013491679121593858,2025-07-06 21:30:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,6,-6.0,-1.0,5.0,701.4320595939207,0.0064193422096181915,5000.0,32.09671104809096,-32.09671104809096,-150.77415621931559,-35.45644624729234,115.31770997202324
1751838300000,bybit,BTCUSDT,continuation_v1,long,109393.3,108561.14236466278,111057.61527067445,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],226.23054134884825,832.157635337222,0.00760702561616865,continuation_v1:long:BTCUSDT:1751838300000,109393.3,111057.61527067445,1751839200000,109404.23933,108561.14236466278,111090.43326067443,1751887800000,108561.14236466278,2.0,96,False,False,0.32874115480790606,1.0428685740178474,-1.5411505241040717,810.0,sl,bar_open,trade_bars,0,-1.0,810.0,0.0012420188618458283,-0.0017672991753523437,0.0037161274566037683,0.006585999946500934,0.001041650390760207,0.001055303654061035,14.14013931864671,0.7407407407407408,7.0,2.13692484284639,0.5298221922124688,7.0,0.010908346306400876,0.014715421152807806,2025-07-06 21:45:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,7,-7.0,-1.0,6.0,843.0969653372158,0.0077062549906695265,5000.0,38.53127495334763,-38.53127495334763,-189.30543117266322,-35.45644624729234,153.84898492537087
1752099300000,bybit,BTCUSDT,continuation_v1,long,111252.8,110531.16097068587,112696.07805862826,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],395.3561172565342,721.6390293141303,0.006486479704907474,continuation_v1:long:BTCUSDT:1752099300000,111252.8,112696.07805862826,1752100200000,111263.92528,110531.16097068587,112729.45389862824,1752155100000,110531.16097068587,2.0,96,False,False,0.35587803156527875,1.1095317684904764,6.552413455418094,930.0,sl,bar_open,trade_bars,0,-1.0,930.0,0.004194493812963662,0.015416186629345185,0.02735250890749996,0.030196839109260108,0.0021944659862813687,0.001356842814688175,14.207920572444054,24.25925925925926,2.0,3.4730456603583915,0.5374611628939167,2.0,0.013543928782017198,0.0262758819579016,2025-07-09 22:15:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,8,-8.0,-1.0,7.0,732.7643093141232,0.006585821122795132,5000.0,32.92910561397566,-32.92910561397566,-222.23453678663887,-35.45644624729234,186.77809053934652
1752102000000,bybit,BTCUSDT,continuation_v1,long,111332.1,110695.2350045907,112605.82999081863,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],359.0599816372476,636.8649954093125,0.005720407639928759,continuation_v1:long:BTCUSDT:1752102000000,111332.1,112605.82999081863,1752102900000,111343.23321,110695.2350045907,112639.22962081863,1752155100000,110695.2350045907,2.0,96,False,False,0.28004211814964297,1.3770612365143253,7.1732710850084604,885.0,sl,bar_open,trade_bars,0,-1.0,885.0,0.0006732148571060304,0.016816938044109664,0.02735250890749996,0.030196839109260108,0.0021944659862813687,0.001356842814688175,14.207920572444054,24.25925925925926,3.0,3.4730456603583915,0.2960053262316885,3.0,0.014246565006857913,0.02696944942461373,2025-07-09 23:00:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,9,-9.0,-1.0,8.0,647.9982054093125,0.0058198256573630215,5000.0,29.09912828681511,-29.09912828681511,-251.33366507345397,-35.45644624729234,215.87721882616162
1752113700000,bybit,BTCUSDT,continuation_v1,long,111323.0,110770.96107064332,112427.07785871337,2.0,96,"['trend_gap_positive', 'ema50_slope_positive', 'ema200_slope_positive', 'breakout_recent', 'impulse_valid', 'pullback_depth_valid', 'above_breakout_level', 'above_ema50_4h', 'trigger_break']",[],247.3557174267636,552.0389293566841,0.004958893753821619,continuation_v1:long:BTCUSDT:1752113700000,111323.0,112427.07785871337,1752114600000,111334.1323,110770.96107064332,112460.47475871336,1752149700000,110770.96107064332,2.0,96,False,False,0.33838323065204834,1.0304722076497344,8.196206516573605,600.0,sl,bar_open,trade_bars,0,-1.0,600.0,0.0015041950127658854,0.0033189485152285148,0.021379127292965983,0.024882881402980842,0.003159218259053631,0.0016139886941912707,16.89966379756009,27.59259259259259,6.0,3.4730456603583915,0.3742565468264523,6.0,0.014165985465716877,0.025875315756502083,2025-07-10 02:15:00+00:00,0.5714285714285714,event,final,3,0.5,baseline,one_position_at_a_time,first_signal,0,10,-10.0,-1.0,9.0,563.1712293566816,0.0050583879150300935,5000.0,25.29193957515047,-25.29193957515047,-276.62560464860445,-35.45644624729234,241.1691584013121
